Date,Adj Close,Close,High,Low,Open,Volume
1993-01-29,24.608623504638672,43.9375,43.96875,43.75,43.96875,1003200
1993-02-01,24.783658981323242,44.25,44.25,43.96875,43.96875,480500
1993-02-02,24.83614158630371,44.34375,44.375,44.125,44.21875,201300
1993-02-03,25.09869384765625,44.8125,44.84375,44.375,44.40625,529400
1993-02-04,25.203718185424805,45.0,45.09375,44.46875,44.96875,531500
1993-02-05,25.18621253967285,44.96875,45.0625,44.71875,44.96875,492100
1993-02-08,25.18621253967285,44.96875,45.125,44.90625,44.96875,596100
1993-02-09,25.011188507080078,44.65625,44.8125,44.5625,44.8125,122100
1993-02-10,25.04619789123535,44.71875,44.75,44.53125,44.65625,379600
1993-02-11,25.16871452331543,44.9375,45.125,44.78125,44.78125,19500
1993-02-12,24.976177215576172,44.59375,44.875,44.59375,44.875,42500
1993-02-16,24.3460750579834,43.46875,44.46875,43.40625,44.46875,374800
1993-02-17,24.32857894897461,43.4375,43.53125,43.28125,43.46875,210900
1993-02-18,24.311077117919922,43.40625,43.9375,42.8125,43.9375,378100
1993-02-19,24.398591995239258,43.5625,43.5625,43.34375,43.40625,34900
1993-02-22,24.48609161376953,43.71875,43.78125,43.5625,43.6875,513600
1993-02-23,24.46859359741211,43.6875,43.875,43.46875,43.84375,373700
1993-02-24,24.783658981323242,44.25,44.25,43.71875,43.71875,26300
1993-02-25,24.83614158630371,44.34375,44.375,44.125,44.21875,44500
1993-02-26,24.87116050720215,44.40625,44.4375,44.1875,44.4375,66200
1993-03-01,24.801145553588867,44.28125,44.5625,44.21875,44.5625,66500
1993-03-02,25.16871452331543,44.9375,44.9375,44.25,44.3125,182400
1993-03-03,25.273725509643555,45.125,45.15625,44.9375,45.0,280100
1993-03-04,25.133703231811523,44.875,45.1875,44.875,45.1875,89500
1993-03-05,25.063697814941406,44.75,45.125,44.71875,44.9375,40000
1993-03-08,25.623767852783203,45.75,45.75,44.84375,44.84375,50800
1993-03-09,25.536264419555664,45.59375,45.6875,45.5,45.65625,169300
1993-03-10,25.588754653930664,45.6875,45.6875,45.40625,45.59375,194400
1993-03-11,25.518756866455078,45.5625,45.84375,45.5,45.71875,70900
1993-03-12,25.25621223449707,45.09375,45.21875,44.8125,45.1875,643600
1993-03-15,25.378734588623047,45.3125,45.3125,45.0625,45.0625,310800
1993-03-16,25.378734588623047,45.3125,45.4375,45.3125,45.3125,30800
1993-03-17,25.221223831176758,45.03125,45.25,44.96875,45.25,21800
1993-03-18,25.378734588623047,45.3125,45.5,45.21875,45.21875,59300
1993-03-19,25.340335845947266,45.03125,45.28125,45.03125,45.28125,66900
1993-03-22,25.199661254882812,44.78125,44.875,44.5625,44.59375,183400
1993-03-23,25.252408981323242,44.875,44.9375,44.8125,44.90625,55200
1993-03-24,25.252408981323242,44.875,45.0625,44.59375,44.8125,37200
1993-03-25,25.410680770874023,45.15625,45.25,44.84375,44.90625,110100
1993-03-26,25.269981384277344,44.90625,45.15625,44.875,45.125,101500
1993-03-29,25.375503540039062,45.09375,45.3125,44.9375,44.9375,87100
1993-03-30,25.445831298828125,45.21875,45.21875,45.09375,45.15625,56000
1993-03-31,25.42826271057129,45.1875,45.46875,45.1875,45.34375,111600
1993-04-01,25.340335845947266,45.03125,45.25,44.9375,45.25,129500
1993-04-02,24.812774658203125,44.09375,44.65625,44.09375,44.65625,59400
1993-04-05,24.93586540222168,44.3125,44.4375,44.1875,44.4375,172200
1993-04-06,24.865535736083984,44.1875,44.40625,44.0625,44.40625,129700
1993-04-07,24.953449249267578,44.34375,44.34375,44.15625,44.25,28000
1993-04-08,24.918285369873047,44.28125,44.53125,44.09375,44.53125,180800
1993-04-12,25.269981384277344,44.90625,44.9375,44.65625,44.71875,348500
1993-04-13,25.322736740112305,45.0,45.15625,44.84375,44.875,146100
