Date,Adj Close,Close,High,Low,Open,Volume
1993-01-29,24.608631134033203,43.9375,43.96875,43.75,43.96875,1003200
1993-02-01,24.78365135192871,44.25,44.25,43.96875,43.96875,480500
1993-02-02,24.836153030395508,44.34375,44.375,44.125,44.21875,201300
1993-02-03,25.09869956970215,44.8125,44.84375,44.375,44.40625,529400
1993-02-04,25.20370864868164,45.0,45.09375,44.46875,44.96875,531500
1993-02-05,25.18620491027832,44.96875,45.0625,44.71875,44.96875,492100
1993-02-08,25.18620491027832,44.96875,45.125,44.90625,44.96875,596100
1993-02-09,25.011186599731445,44.65625,44.8125,44.5625,44.8125,122100
1993-02-10,25.04619026184082,44.71875,44.75,44.53125,44.65625,379600
1993-02-11,25.168701171875,44.9375,45.125,44.78125,44.78125,19500
1993-02-12,24.976179122924805,44.59375,44.875,44.59375,44.875,42500
1993-02-16,24.346086502075195,43.46875,44.46875,43.40625,44.46875,374800
1993-02-17,24.32859230041504,43.4375,43.53125,43.28125,43.46875,210900
1993-02-18,24.311071395874023,43.40625,43.9375,42.8125,43.9375,378100
1993-02-19,24.398597717285156,43.5625,43.5625,43.34375,43.40625,34900
1993-02-22,24.48610496520996,43.71875,43.78125,43.5625,43.6875,513600
1993-02-23,24.468597412109375,43.6875,43.875,43.46875,43.84375,373700
1993-02-24,24.78365135192871,44.25,44.25,43.71875,43.71875,26300
1993-02-25,24.836153030395508,44.34375,44.375,44.125,44.21875,44500
1993-02-26,24.871170043945312,44.40625,44.4375,44.1875,44.4375,66200
1993-03-01,24.801145553588867,44.28125,44.5625,44.21875,44.5625,66500
1993-03-02,25.168701171875,44.9375,44.9375,44.25,44.3125,182400
1993-03-03,25.273733139038086,45.125,45.15625,44.9375,45.0,280100
1993-03-04,25.133697509765625,44.875,45.1875,44.875,45.1875,89500
1993-03-05,25.063695907592773,44.75,45.125,44.71875,44.9375,40000
1993-03-08,25.62377166748047,45.75,45.75,44.84375,44.84375,50800
1993-03-09,25.536264419555664,45.59375,45.6875,45.5,45.65625,169300
1993-03-10,25.58876609802246,45.6875,45.6875,45.40625,45.59375,194400
1993-03-11,25.518754959106445,45.5625,45.84375,45.5,45.71875,70900
1993-03-12,25.256221771240234,45.09375,45.21875,44.8125,45.1875,643600
1993-03-15,25.37874984741211,45.3125,45.3125,45.0625,45.0625,310800
1993-03-16,25.37874984741211,45.3125,45.4375,45.3125,45.3125,30800
1993-03-17,25.221221923828125,45.03125,45.25,44.96875,45.25,21800
1993-03-18,25.37874984741211,45.3125,45.5,45.21875,45.21875,59300
1993-03-19,25.340341567993164,45.03125,45.28125,45.03125,45.28125,66900
1993-03-22,25.199647903442383,44.78125,44.875,44.5625,44.59375,183400
1993-03-23,25.25240135192871,44.875,44.9375,44.8125,44.90625,55200
1993-03-24,25.25240135192871,44.875,45.0625,44.59375,44.8125,37200
1993-03-25,25.410680770874023,45.15625,45.25,44.84375,44.90625,110100
1993-03-26,25.269983291625977,44.90625,45.15625,44.875,45.125,101500
1993-03-29,25.375497817993164,45.09375,45.3125,44.9375,44.9375,87100
1993-03-30,25.445838928222656,45.21875,45.21875,45.09375,45.15625,56000
1993-03-31,25.428247451782227,45.1875,45.46875,45.1875,45.34375,111600
1993-04-01,25.340341567993164,45.03125,45.25,44.9375,45.25,129500
1993-04-02,24.812776565551758,44.09375,44.65625,44.09375,44.65625,59400
1993-04-05,24.935871124267578,44.3125,44.4375,44.1875,44.4375,172200
1993-04-06,24.86553382873535,44.1875,44.40625,44.0625,44.40625,129700
1993-04-07,24.953453063964844,44.34375,44.34375,44.15625,44.25,28000
1993-04-08,24.91827964782715,44.28125,44.53125,44.09375,44.53125,180800
1993-04-12,25.269983291625977,44.90625,44.9375,44.65625,44.71875,348500
1993-04-13,25.32274627685547,45.0,45.15625,44.84375,44.875,146100
1993-04-14,25.28757667541504,44.9375,45.0625,44.90625,45.03125,119600
1993-04-15,25.28757667541504,44.9375,45.03125,44.75,44.90625,148600
1993-04-16,25.28757667541504,44.9375,45.03125,44.875,44.96875,47900
1993-04-19,25.182069778442383,44.75,45.0625,44.71875,44.9375,157000
1993-04-20,25.05896759033203,44.53125,44.75,44.25,44.6875,279500
1993-04-21,25.041379928588867,44.5,44.625,44.375,44.625,67900
1993-04-22,24.724863052368164,43.9375,44.6875,43.9375,44.3125,97700
1993-04-23,24.619335174560547,43.75,43.96875,43.6875,43.84375,106000
1993-04-26,24.425886154174805,43.40625,43.9375,43.28125,43.78125,62600
1993-04-27,24.689672470092773,43.875,43.875,43.34375,43.34375,156800
1993-04-28,24.63692855834961,43.78125,43.90625,43.71875,43.8125,85900
1993-04-29,24.742427825927734,43.96875,43.96875,43.625,43.875,85000
1993-04-30,24.777599334716797,44.03125,44.28125,44.03125,44.125,88500
1993-05-03,24.935871124267578,44.3125,44.3125,43.90625,44.09375,80500
1993-05-04,25.023784637451172,44.46875,44.625,44.34375,44.40625,149100
1993-05-05,25.09414291381836,44.59375,44.75,44.46875,44.46875,109000
1993-05-06,25.006208419799805,44.4375,44.5625,44.40625,44.53125,54700
1993-05-07,24.953453063964844,44.34375,44.46875,44.28125,44.46875,68000
1993-05-10,25.006208419799805,44.4375,44.6875,44.40625,44.40625,113900
1993-05-11,25.11172103881836,44.625,44.625,44.3125,44.4375,42600
1993-05-12,25.0765380859375,44.5625,44.59375,44.4375,44.4375,31000
1993-05-13,24.777599334716797,44.03125,44.375,44.0,44.375,129100
1993-05-14,24.760011672973633,44.0,44.15625,43.96875,44.03125,63500
1993-05-17,24.847949981689453,44.15625,44.15625,43.9375,44.125,34000
1993-05-18,24.830358505249023,44.125,44.21875,43.96875,44.1875,105200
1993-05-19,25.340341567993164,45.03125,45.03125,43.84375,44.125,50200
1993-05-20,25.410680770874023,45.15625,45.15625,44.9375,45.03125,98200
1993-05-21,25.182069778442383,44.75,45.25,44.71875,45.1875,221400
1993-05-24,25.28757667541504,44.9375,45.09375,44.84375,44.84375,30500
1993-05-25,25.340341567993164,45.03125,45.125,45.03125,45.125,191800
1993-05-26,25.656875610351562,45.59375,45.625,45.125,45.15625,102400
1993-05-27,25.568941116333008,45.4375,45.65625,45.375,45.65625,53800
1993-05-28,25.445838928222656,45.21875,45.40625,45.0,45.40625,79100
1993-06-01,25.692035675048828,45.65625,45.8125,45.3125,45.375,28300
1993-06-02,25.656875610351562,45.59375,45.75,45.34375,45.53125,20300
1993-06-03,25.568941116333008,45.4375,45.5,45.34375,45.5,21600
1993-06-04,25.481002807617188,45.28125,45.3125,45.09375,45.3125,32000
1993-06-07,25.39310073852539,45.125,45.375,45.125,45.375,121400
1993-06-08,25.16447639465332,44.71875,45.0,44.71875,45.0,104500
1993-06-09,25.25240135192871,44.875,45.0625,44.8125,44.875,43300
1993-06-10,25.269983291625977,44.90625,44.9375,44.75,44.84375,17900
1993-06-11,25.375497817993164,45.09375,45.15625,44.90625,45.0625,647400
1993-06-14,25.340341567993164,45.03125,45.1875,45.03125,45.15625,64200
1993-06-15,25.28757667541504,44.9375,45.125,44.9375,45.09375,142400
1993-06-16,25.340341567993164,45.03125,45.03125,44.8125,44.9375,330900
1993-06-17,25.428247451782227,45.1875,45.1875,45.03125,45.125,37400
1993-06-18,25.218852996826172,44.5,44.84375,44.5,44.84375,58500
1993-06-21,25.27198600769043,44.59375,44.625,44.53125,44.625,29300
1993-06-22,25.28969383239746,44.625,44.65625,44.5625,44.65625,137500
1993-06-23,25.059465408325195,44.21875,44.625,44.21875,44.625,227600
1993-06-24,25.395959854125977,44.8125,44.8125,44.34375,44.34375,243700
1993-06-25,25.378238677978516,44.78125,44.90625,44.75,44.78125,44800
1993-06-28,25.66160011291504,45.28125,45.28125,44.9375,45.0,439900
1993-06-29,25.53763198852539,45.0625,45.21875,45.0,45.21875,207500
1993-06-30,25.53763198852539,45.0625,45.21875,45.0,45.125,437600
1993-07-01,25.466794967651367,44.9375,45.125,44.875,45.125,605700
1993-07-02,25.325119018554688,44.6875,44.8125,44.53125,44.78125,285400
1993-07-06,25.059465408325195,44.21875,44.75,44.15625,44.625,246400
1993-07-07,25.130306243896484,44.34375,44.40625,44.1875,44.1875,343700
1993-07-08,25.41365623474121,44.84375,44.9375,44.3125,44.375,248200
1993-07-09,25.48448944091797,44.96875,44.96875,44.75,44.84375,378200
1993-07-12,25.466794967651367,44.9375,44.96875,44.84375,44.90625,373700
1993-07-13,25.44907569885254,44.90625,45.09375,44.65625,44.96875,389600
1993-07-14,25.53763198852539,45.0625,45.1875,44.90625,44.9375,617300
1993-07-15,25.431367874145508,44.875,45.03125,44.78125,45.03125,443800
1993-07-16,25.36054039001465,44.75,44.9375,44.6875,44.90625,216400
1993-07-19,25.342824935913086,44.71875,44.75,44.59375,44.75,188200
1993-07-20,25.41365623474121,44.84375,44.84375,44.46875,44.6875,68500
1993-07-21,25.395959854125977,44.8125,44.8125,44.65625,44.78125,142700
1993-07-22,25.218852996826172,44.5,44.8125,44.5,44.75,632400
1993-07-23,25.342824935913086,44.71875,44.71875,44.5625,44.59375,286200
1993-07-26,25.48448944091797,44.96875,45.0625,44.84375,44.84375,121300
1993-07-27,25.466794967651367,44.9375,45.03125,44.78125,45.0,92800
1993-07-28,25.41365623474121,44.84375,44.9375,44.78125,44.84375,30800
1993-07-29,25.555343627929688,45.09375,45.21875,44.875,44.9375,331000
1993-07-30,25.41365623474121,44.84375,45.09375,44.78125,45.09375,75300
1993-08-02,25.48448944091797,44.96875,45.125,44.90625,44.90625,41300
1993-08-03,25.502214431762695,45.0,45.1875,44.84375,45.0625,81600
1993-08-04,25.502214431762695,45.0,45.09375,44.875,45.0,434000
1993-08-05,25.44907569885254,44.90625,45.0,44.84375,45.0,36800
1993-08-06,25.48448944091797,44.96875,45.0625,44.90625,45.03125,402300
1993-08-09,25.626178741455078,45.21875,45.34375,45.0,45.09375,828200
1993-08-10,25.608461380004883,45.1875,45.21875,45.125,45.1875,604900
1993-08-11,25.608461380004883,45.1875,45.3125,45.15625,45.15625,542200
1993-08-12,25.53763198852539,45.0625,45.3125,44.90625,45.3125,303700
1993-08-13,25.57306671142578,45.125,45.15625,45.09375,45.09375,103500
1993-08-16,25.7147274017334,45.375,45.5,45.15625,45.15625,241800
1993-08-17,25.80328369140625,45.53125,45.53125,45.34375,45.34375,369300
1993-08-18,25.9449462890625,45.78125,45.875,45.65625,45.6875,414300
1993-08-19,25.9449462890625,45.78125,45.8125,45.71875,45.8125,28500
1993-08-20,25.962671279907227,45.8125,45.8125,45.65625,45.6875,80700
1993-08-23,25.909530639648438,45.71875,45.75,45.625,45.625,15600
1993-08-24,26.19289207458496,46.21875,46.21875,45.71875,45.71875,273400
